Pozo,Profundidad,Porosidad,Permeabilidad,Saturacion_agua,Volumen_arcilla
P1,1046.8,0.02229049,0.6161,0.7209022125087424,0.1841
P1,1046.9,0.1424,0.3023,0.6914,0.0957
P1,1047.0,0.1252,0.1485,0.8128,0.2491
P1,1047.1,0.1044,0.0836,0.8245,0.4247
P1,1047.2,0.0244,0.0007,1.0,0.6463
P1,1047.3,0.0005,0.11606865348507095,1.0,0.8464
P1,1047.4,0.0001,0.06758595586252714,1.0,1.0
P1,1047.5,0.0001,0.06758595586252714,1.0,1.0
P1,1047.6,0.0005,0.11897640129204179,1.0,0.8402
P1,1047.7,0.0174,0.0003,1.0,0.6688
P1,1047.8,0.0871,0.0535,0.7862,0.4964
P1,1047.9,0.092,0.0934,0.6458,0.4381
P1,1048.0,0.0941,0.0915,0.6749,0.4104
P1,1048.1,0.0766,0.0256,0.9368,0.5121
P1,1048.2,0.0284,0.0012,1.0,0.6356
P1,1048.3,0.0005,0.1166489700511853,1.0,0.8452
P1,1048.4,0.0001,0.06758595586252714,1.0,1.0
P1,1048.5,0.0001,0.06758595586252714,1.0,1.0
P1,1048.6,0.0001,0.06758595586252714,1.0,1.0
P1,1048.7,0.0001,0.06758595586252714,1.0,1.0
P1,1048.8,0.0001,0.054844668295115695,1.0,0.9749
P1,1048.9,0.0001,0.054894182836179084,1.0,0.9496
P1,1049.0,0.0001,0.05407861766973132,1.0,0.9709
P1,1049.1,0.0001,0.056097567501828594,1.0,0.9794
P1,1049.2,0.0006,0.12398864556699052,1.0,0.8373
P1,1049.3,0.009000000000000001,2.1592934061813445,1.0,0.708
P1,1049.4,0.0498,0.0062,1.0,0.5909
P1,1049.5,0.0737,0.02,1.0,0.5512
P1,1049.6,0.0529,0.0074,1.0,0.5854
P1,1049.7,0.0247,0.0008,1.0,0.6456
P1,1049.8,0.0035,0.527896746431536,1.0,0.7569
P1,1049.9,0.0002,0.09109929613189782,1.0,0.8784
P1,1050.0,0.0001,0.06758595586252714,1.0,1.0
P1,1050.1,0.0001,0.06758595586252714,1.0,1.0
P1,1050.2,0.0001,0.06758595586252714,1.0,1.0
P1,1050.3,0.0001,0.06758595586252714,1.0,1.0
P1,1050.4,0.0001,0.06758595586252714,1.0,1.0
P1,1050.5,0.0001,0.06758595586252714,1.0,1.0
P1,1050.6,0.0001,0.06758595586252714,1.0,1.0
P1,1050.7,0.0002,0.09646304711211606,1.0,0.8689
P1,1050.8,0.0003,0.10303256841173114,1.0,0.8606
P1,1050.9,0.0001,0.07344791974227372,1.0,0.9065
P1,1051.0,0.0001,0.06758595586252714,1.0,1.0
P1,1051.1,0.0001,0.05412871842711253,1.0,0.9539
P1,1051.2,0.0094,1.99828093951851,1.0,0.7059
P1,1051.3,0.0001,0.07916367884743147,1.0,0.8966
P1,1051.4,0.0001,0.06810224093184691,1.0,0.9162
P1,1051.5,0.0036,0.5590068913304351,1.0,0.7561
P1,1051.6,0.0481,0.0056,1.0,0.594
P1,1051.7,0.0913,0.0615,0.7863,0.4571
P1,1051.8,0.1046,0.0619,0.9618,0.3585
P1,1051.9,0.1129,0.07200000000000001,1.0,0.2798
P1,1052.0,0.11199999999999999,0.0752,0.9667,0.2419
P1,1052.1,0.1142,0.1136,0.8101,0.1941
P1,1052.2,0.1178,0.2152,0.6161,0.151
P1,1052.3,0.1304,0.295,0.6129,0.0836
P1,1052.4,0.1394,0.2262,0.7741,0.0606
P1,1052.5,0.1407,0.156,0.9449,0.106
P1,1052.6,0.1298,0.1093,1.0,0.2315
P1,1052.7,0.1149,0.0785,0.9828,0.3827
P1,1052.8,0.0729,0.0193,1.0,0.5524
P1,1052.9,0.0332,0.0018,1.0,0.6241
P1,1053.0,0.0686,0.0162,1.0,0.5593
P1,1053.1,0.07400000000000001,0.0203,1.0,0.5506
P1,1053.2,0.0019,0.2267655738318497,1.0,0.7859
P1,1053.3,0.0001,0.06758595586252714,1.0,1.0
P1,1053.4,0.0001,0.06758595586252714,1.0,1.0
P1,1053.5,0.0001,0.06758595586252714,1.0,1.0
P1,1053.6,0.0001,0.06758595586252714,1.0,1.0
P1,1053.7,0.0001,0.06758595586252714,1.0,1.0
P1,1053.8,0.0001,0.06758595586252714,1.0,1.0
P1,1053.9,0.0001,0.06758595586252714,1.0,1.0
P1,1054.0,0.0001,0.06758595586252714,1.0,1.0
P1,1054.1,0.0001,0.06758595586252714,1.0,1.0
P1,1054.2,0.0001,0.06758595586252714,1.0,1.0
P1,1054.3,0.0001,0.06758595586252714,1.0,1.0
P1,1054.4,0.0001,0.06758595586252714,1.0,1.0
P1,1054.5,0.0001,0.06758595586252714,1.0,1.0
P1,1054.6,0.0001,0.06758595586252714,1.0,1.0
P1,1054.7,0.0006,0.12438962731393377,1.0,0.8364
P1,1054.8,0.065,0.0137,1.0,0.5652
P1,1054.9,0.0868,0.0327,1.0,0.5293
P1,1055.0,0.0475,0.0054,1.0,0.5951
P1,1055.1,0.0218,0.0005,1.0,0.654
P1,1055.2,0.0228,0.0006,1.0,0.6511
P1,1055.3,0.0233,0.0006,1.0,0.6496
P1,1055.4,0.0214,0.0005,1.0,0.6552
P1,1055.5,0.0041,0.7560654063451109,1.0,0.7499
P1,1055.6,0.0005,0.11893126683052813,1.0,0.8403
P1,1055.7,0.0001,0.07384607219768435,1.0,0.9058
P1,1055.8,0.0001,0.08487087261505999,1.0,0.8868
P1,1055.9,0.001,0.15173369057947506,1.0,0.8157
P1,1056.0,0.0131,0.0001,1.0,0.6866
P1,1056.1,0.0663,0.0146,1.0,0.5631
P1,1056.2,0.0854,0.039,0.8929,0.5232
P1,1056.3,0.0651,0.0138,1.0,0.5621
P1,1056.4,0.0209,0.0005,1.0,0.657
P1,1056.5,0.0121,0.0001,1.0,0.6909
P1,1056.6,0.018000000000000002,0.0003,1.0,0.6666
P1,1056.7,0.0229,0.0006,1.0,0.6508
P1,1056.8,0.0243,0.0007,1.0,0.6466
P1,1056.9,0.0246,0.0007,1.0,0.6459
P1,1057.0,0.0452,0.0046,1.0,0.5994
P1,1057.1,0.0725,0.0257,0.8618,0.4753
P1,1057.2,0.0962,0.0736,0.7777,0.3465
P1,1057.3,0.0956,0.0744,0.7666,0.3401
P1,1057.4,0.0861,0.0451,0.8408,0.3804
P1,1057.5,0.0654,0.0158,0.9390000000000001,0.48
P1,1057.6,0.0556,0.0086,1.0,0.5355
P1,1057.7,0.0383,0.0028,1.0,0.6131
P1,1057.8,0.0319,0.0016,1.0,0.6271
P1,1057.9,0.0264,0.0009,1.0,0.6409999999999999
P1,1058.0,0.0197,0.0004,1.0,0.6608
P1,1058.1,0.0184,0.0003,1.0,0.6654
P1,1058.2,0.016,0.0002,1.0,0.6742
P1,1058.3,0.0174,0.0003,1.0,0.6689
P1,1058.4,0.0553,0.0084,1.0,0.5813
P1,1058.5,0.083,0.0388,0.8590000000000001,0.4742
P1,1058.6,0.1003,0.08,0.7946,0.3894
P1,1058.7,0.1078,0.1282,0.6984,0.3624
P1,1058.8,0.1036,0.0767,0.8513,0.39799999999999996
P1,1058.9,0.08900000000000001,0.037000000000000005,0.9767,0.4872
P1,1059.0,0.0236,0.0007,1.0,0.6486
P1,1059.1,0.0016,0.19840303095262912,1.0,0.7945
P1,1059.2,0.0002,0.09265364758048988,1.0,0.8757
P1,1059.3,0.0005,0.11759737465769143,1.0,0.8432
P1,1059.4,0.0143,0.0001,1.0,0.6811
P1,1059.5,0.0801,0.0257,1.0,0.4469
P1,1059.6,0.1055,0.0665,0.9401,0.2561
P1,1059.7,0.1206,0.1537,0.755,0.1181
P1,1059.8,0.125,0.2459,0.6304,0.0382
P1,1059.9,0.015575039999999997,0.2601,0.7819846545808942,0.2464
P1,1060.0,0.01490841,0.1909,0.8309031231136396,0.2667
P1,1060.1,0.1114,0.0802,0.9289,0.0663
P1,1060.2,0.0969,0.0541,0.9166,0.1787
P1,1060.3,0.0843,0.0314,0.9774,0.3071
P1,1060.4,0.0791,0.0259,0.9776,0.4163
P1,1060.5,0.0888,0.0417,0.9161,0.4534
P1,1060.6,0.11599999999999999,0.1125,0.8327,0.3894
P1,1060.7,0.1349,0.2293,0.7317,0.3255
P1,1060.8,0.1365,0.3074,0.6432,0.3175
P1,1060.9,0.1168,0.1607,0.7041,0.41600000000000004
P1,1061.0,0.0751,0.0212,1.0,0.5489
P1,1061.1,0.0077,2.410491213341824,1.0,0.7170000000000001
P1,1061.2,0.0003,0.10536636685225498,1.0,0.8561
P1,1061.3,0.0002,0.08680558088390944,1.0,0.8857
P1,1061.4,0.0001,0.07788216414903226,1.0,0.8988
P1,1061.5,0.0001,0.06794334228855259,1.0,0.9165
P1,1061.6,0.0001,0.08272240931635422,1.0,0.8905
P1,1061.7,0.0006,0.12340082569314809,1.0,0.8386
P1,1061.8,0.0106,0.0001,1.0,0.6991
P1,1061.9,0.08900000000000001,0.038,0.9625,0.5254
P1,1062.0,0.1232,0.3243,0.5369,0.384
P1,1062.1,0.1243,0.369,0.5099,0.3787
P1,1062.2,0.1156,0.1908,0.6362,0.4221
P1,1062.3,0.0632,0.0126,1.0,0.568
P1,1062.4,0.0133,0.0001,1.0,0.6855
P1,1062.5,0.0001,0.05390322805594294,1.0,0.9556
P1,1062.6,0.0014,0.18153470642419334,1.0,0.8012
P1,1062.7,0.0029,0.371291163879221,1.0,0.7662
P1,1062.8,0.0002,0.08958366901180093,1.0,0.8809999999999999
P1,1062.9,0.0002,0.08775609290410602,1.0,0.8841
P1,1063.0,0.0001,0.06758595586252714,1.0,1.0
P1,1063.1,0.0001,0.06758595586252714,1.0,1.0
P1,1063.2,0.0001,0.059056079983837884,1.0,0.9867
P1,1063.3,0.0025,0.29964493903331896,1.0,0.7739
P1,1063.4,0.0681,0.0158,1.0,0.5601
P1,1063.5,0.1249,0.2224,0.6621,0.3753
P1,1063.6,0.1472,0.5147,0.5564,0.2642
P1,1063.7,0.1558,0.7240000000000001,0.5109,0.2211
P1,1063.8,0.1424,0.4464,0.5685,0.2803
P1,1063.9,0.1089,0.1353,0.6904,0.4403
P1,1064.0,0.0144,0.0001,1.0,0.6808
P1,1064.1,0.0003,0.10153145001970876,1.0,0.8634
P1,1064.2,0.0001,0.05364713236751251,1.0,0.9582
P1,1064.3,0.0015,0.18963863770410716,1.0,0.7981
P1,1064.4,0.0914,0.0478,0.893,0.5056
P1,1064.5,0.1089,0.1827,0.5945,0.3567
P1,1064.6,0.1271,0.369,0.5274,0.2332
P1,1064.7,0.1049,0.1196,0.6951,0.3364
P1,1064.8,0.0849,0.04,0.8747,0.4597
P1,1064.9,0.0435,0.0041,1.0,0.6026
P1,1065.0,0.0049,1.1802036654326078,1.0,0.7408
P1,1065.1,0.005,1.2419442324770928,1.0,0.7394
P1,1065.2,0.0342,0.002,1.0,0.6219
P1,1065.3,0.0881,0.0503,0.8251,0.4565
P1,1065.4,0.1007,0.1273,0.6336,0.345
P1,1065.5,0.1242,0.3227,0.5447,0.2001
P1,1065.6,0.1122,0.2067,0.5843,0.2647
P1,1065.7,0.091,0.0501,0.8665,0.4018
P1,1065.8,0.0762,0.0221,1.0,0.53
P1,1065.9,0.0156,0.0002,1.0,0.6759
P1,1066.0,0.0006,0.1257766069927871,1.0,0.8332
P1,1066.1,0.0003,0.09949301867967941,1.0,0.8671
P1,1066.2,0.0001,0.07231783615345644,1.0,0.9085
P1,1066.3,0.0001,0.06120894878157701,1.0,0.9304
P1,1066.4,0.0001,0.05709399139296911,1.0,0.9822
P1,1066.5,0.0001,0.06868873065746062,1.0,0.9151
P1,1066.6,0.0001,0.06758595586252714,1.0,1.0
P1,1066.7,0.0001,0.06758595586252714,1.0,1.0
P1,1066.8,0.0001,0.06758595586252714,1.0,1.0
P1,1066.9,0.0001,0.06758595586252714,1.0,1.0
P1,1067.0,0.0001,0.0567919884498993,1.0,0.9814
P1,1067.1,0.0001,0.08434965755820056,1.0,0.8877
P1,1067.2,0.0001,0.056646204180270776,1.0,0.981
P1,1067.3,0.0001,0.06758595586252714,1.0,1.0
P1,1067.4,0.0001,0.06626081797550376,1.0,0.9983
P1,1067.5,0.0001,0.08062261858410236,1.0,0.8941
P1,1067.6,0.0089,2.1950088994272137,1.0,0.7085
P1,1067.7,0.037000000000000005,0.0025,1.0,0.6157
P1,1067.8,0.0045,0.9564819592034006,1.0,0.7446
P1,1067.9,0.0001,0.06731246319873097,1.0,0.9177
P1,1068.0,0.0001,0.06758595586252714,1.0,1.0
P1,1068.1,0.0001,0.0550662130129308,1.0,0.9488
P1,1068.2,0.0001,0.06758595586252714,1.0,1.0
P1,1068.3,0.0001,0.07458869714049055,1.0,0.9045
P1,1068.4,0.0001,0.06632987329630968,1.0,0.9196
P1,1068.5,0.0001,0.058863330877126474,1.0,0.9863
P1,1068.6,0.0003,0.10303256841173114,1.0,0.8606
P1,1068.7,0.0001,0.060785441166042786,1.0,0.99
P1,1068.8,0.0012,0.16627903343024586,1.0,0.8077
P1,1068.9,0.0511,0.0067,1.0,0.5886
P1,1069.0,0.0871,0.0667,0.7036,0.4394
P1,1069.1,0.1157,0.2371,0.5715,0.2448
P1,1069.2,0.1236,0.3112,0.5511,0.1771
P1,1069.3,0.09300000000000001,0.0755,0.7297,0.33299999999999996
P1,1069.4,0.0946,0.0467,0.9521,0.3594
P1,1069.5,0.0955,0.0519,0.9153,0.4122
P1,1069.6,0.0935,0.0549,0.8627,0.4842
P1,1069.7,0.0909,0.0375,1.0,0.5219
P1,1069.8,0.0964,0.053,0.9194,0.5104
P1,1069.9,0.1063,0.1189,0.7109,0.4654
P1,1070.0,0.1121,0.2384,0.5435,0.4101
P1,1070.1,0.1304,0.4367,0.5037,0.2903
P1,1070.2,0.1207,0.298,0.5429,0.3275
P1,1070.3,0.0191,0.0003,1.0,0.6629999999999999
P1,1070.4,0.0007,0.13107969266962688,1.0,0.8305
P1,1070.5,0.0001,0.06758595586252714,1.0,1.0
P1,1070.6,0.0001,0.06308950659043244,1.0,0.9938
P1,1070.7,0.0001,0.06577074678398243,1.0,0.9207
P1,1070.8,0.0028,0.35089767780941433,1.0,0.7682
P1,1070.9,0.0546,0.0081,1.0,0.5825
P1,1071.0,0.1162,0.2878,0.5219,0.4191
P1,1071.1,0.0383,0.0028,1.0,0.6131
P1,1071.2,0.0061,1.9065183273466246,1.0,0.7291
P1,1071.3,0.0001,0.07158992209465298,1.0,0.9098
P1,1071.4,0.0001,0.0535648692336248,1.0,0.966
P1,1071.5,0.0001,0.06758595586252714,1.0,1.0
P1,1071.6,0.0001,0.06758595586252714,1.0,1.0
P1,1071.7,0.0001,0.05900755347041753,1.0,0.9866
P1,1071.8,0.0032,0.44087786847478583,1.0,0.7614
P1,1071.9,0.0144,0.0001,1.0,0.6807
P1,1072.0,0.0236,0.0007,1.0,0.6487
P1,1072.1,0.1121,0.252,0.529,0.4393
P1,1072.2,0.1084,0.2214,0.5362,0.45799999999999996
P1,1072.3,0.0068,2.2312327859096968,1.0,0.7239
P1,1072.4,0.0001,0.07231783615345644,1.0,0.9085
P1,1072.5,0.0001,0.05955382571020729,1.0,0.9877
P1,1072.6,0.0001,0.05778880686454657,1.0,0.9392
P1,1072.7,0.0006,0.12353738687689375,1.0,0.8383
P1,1072.8,0.0607,0.0112,1.0,0.5722
P1,1072.9,0.1334,0.1526,0.8817,0.3136
P1,1073.0,0.1422,0.1899,0.8704,0.1318
P1,1073.1,0.1441,0.297,0.71,0.016
P1,1073.2,0.017956000000000003,0.336,0.7733692520394123,0.2138
P1,1073.3,0.01687401,0.3795,0.7332803011127463,0.2212
P1,1073.4,0.017956000000000003,0.2847,0.8062877898120497,0.2179
P1,1073.5,0.1398,0.2259,0.7779,0.0136
P1,1073.6,0.1407,0.3169,0.6626,0.0895
P1,1073.7,0.1497,0.7818,0.4633,0.1703
P1,1073.8,0.1582,1.0444,0.4353,0.2043
P1,1073.9,0.1127,0.2575,0.5276,0.4363
P1,1074.0,0.0001,0.053770010799807144,1.0,0.9685
P1,1074.1,0.0001,0.05347133393569403,1.0,0.9623
P1,1074.2,0.0001,0.0818481197200297,1.0,0.892
P1,1074.3,0.0031,0.4138881424653842,1.0,0.7638
P1,1074.4,0.0095,1.9528780971762654,1.0,0.7049
P1,1074.5,0.0676,0.0155,1.0,0.5609
P1,1074.6,0.0046,1.0092065695969956,1.0,0.7438
P1,1074.7,0.0004,0.112571301616189,1.0,0.847
P1,1074.8,0.0001,0.05548847169401405,1.0,0.9774
P1,1074.9,0.0001,0.06758595586252714,1.0,1.0
P1,1075.0,0.0001,0.06758595586252714,1.0,1.0
P1,1075.1,0.0001,0.06758595586252714,1.0,1.0
P1,1075.2,0.0001,0.06758595586252714,1.0,1.0
P1,1075.3,0.0001,0.07424545334757793,1.0,0.9051
P1,1075.4,0.0011,0.16002029131934936,1.0,0.8086
P1,1075.5,0.0007,0.1320344968898276,1.0,0.8282
P1,1075.6,0.0439,0.0042,1.0,0.6018
P1,1075.7,0.0371,0.0026,1.0,0.6155
P1,1075.8,0.0002,0.0948024649626188,1.0,0.8719
P1,1075.9,0.0001,0.05371427831535036,1.0,0.9574
P1,1076.0,0.0001,0.06758595586252714,1.0,1.0
P1,1076.1,0.0001,0.06153564400892064,1.0,0.9913
P1,1076.2,0.0001,0.06879599918920731,1.0,0.9149
P1,1076.3,0.0017,0.2080686533934366,1.0,0.7902
P1,1076.4,0.004,0.7150379017313433,1.0,0.7504
P1,1076.5,0.0238,0.0007,1.0,0.6482
P1,1076.6,0.1086,0.2239,0.5349,0.4569
P1,1076.7,0.0132,0.0001,1.0,0.6861
P1,1076.8,0.0003,0.09988329296323839,1.0,0.8664
P1,1076.9,0.0001,0.06758595586252714,1.0,1.0
P1,1077.0,0.0001,0.06758595586252714,1.0,1.0
P1,1077.1,0.0001,0.06758595586252714,1.0,1.0
P1,1077.2,0.0001,0.06758595586252714,1.0,1.0
P1,1077.3,0.0001,0.05806626642131496,1.0,0.9384
P1,1077.4,0.0001,0.0542749487522689,1.0,0.9721
P1,1077.5,0.0001,0.06758595586252714,1.0,1.0
P1,1077.6,0.0001,0.06758595586252714,1.0,1.0
P1,1077.7,0.0001,0.06758595586252714,1.0,1.0
P1,1077.8,0.0001,0.06758595586252714,1.0,1.0
P1,1077.9,0.0001,0.056503882094006475,1.0,0.9806
P1,1078.0,0.0002,0.09063479849489087,1.0,0.8792
P1,1078.1,0.0001,0.05792663784194774,1.0,0.9388
P1,1078.2,0.0001,0.05449981291602757,1.0,0.9733
P1,1078.3,0.0002,0.09651781745438315,1.0,0.8688
P1,1078.4,0.012,0.0001,1.0,0.6917
P1,1078.5,0.0364,0.0024,1.0,0.617
P1,1078.6,0.0181,0.0003,1.0,0.6664
P1,1078.7,0.0011,0.15873535473871203,1.0,0.812
P1,1078.8,0.0001,0.06758595586252714,1.0,1.0
P1,1078.9,0.0001,0.06758595586252714,1.0,1.0
P1,1079.0,0.0001,0.06758595586252714,1.0,1.0
P1,1079.1,0.0001,0.06758595586252714,1.0,1.0
P1,1079.2,0.0001,0.06758595586252714,1.0,1.0
P1,1079.3,0.0009,0.14546023836712124,1.0,0.8183
P1,1079.4,0.0003,0.10266074087204713,1.0,0.8613
P1,1079.5,0.0001,0.06423057044025993,1.0,0.9955
P1,1079.6,0.0001,0.06758595586252714,1.0,1.0
P1,1079.7,0.0001,0.06758595586252714,1.0,1.0
P1,1079.8,0.0001,0.06758595586252714,1.0,1.0
P1,1079.9,0.0001,0.06758595586252714,1.0,1.0
P1,1080.0,0.0001,0.06758595586252714,1.0,1.0
P1,1080.1,0.0001,0.06758595586252714,1.0,1.0
P1,1080.2,0.0001,0.06758595586252714,1.0,1.0
P1,1080.3,0.0001,0.06758595586252714,1.0,1.0
P1,1080.4,0.0001,0.06758595586252714,1.0,1.0
P1,1080.5,0.0001,0.06758595586252714,1.0,1.0
P1,1080.6,0.0001,0.06758595586252714,1.0,1.0
P1,1080.7,0.0001,0.06758595586252714,1.0,1.0
P1,1080.8,0.0001,0.06758595586252714,1.0,1.0
P1,1080.9,0.0001,0.06758595586252714,1.0,1.0
P1,1081.0,0.0001,0.06758595586252714,1.0,1.0
P1,1081.1,0.0001,0.06758595586252714,1.0,1.0
P1,1081.2,0.0001,0.06758595586252714,1.0,1.0
P1,1081.3,0.0001,0.06758595586252714,1.0,1.0
P1,1081.4,0.0001,0.06758595586252714,1.0,1.0
P1,1081.5,0.0001,0.06758595586252714,1.0,1.0
P1,1081.6,0.0001,0.06758595586252714,1.0,1.0
P1,1081.7,0.0001,0.06758595586252714,1.0,1.0
P1,1081.8,0.0001,0.06758595586252714,1.0,1.0
P1,1081.9,0.0001,0.06758595586252714,1.0,1.0
P1,1082.0,0.0001,0.06758595586252714,1.0,1.0
P1,1082.1,0.0001,0.06758595586252714,1.0,1.0
P1,1082.2,0.0001,0.06758595586252714,1.0,1.0
P1,1082.3,0.0001,0.06758595586252714,1.0,1.0
P1,1082.4,0.0001,0.06758595586252714,1.0,1.0
P1,1082.5,0.0001,0.06758595586252714,1.0,1.0
P1,1082.6,0.0001,0.06758595586252714,1.0,1.0
P1,1082.7,0.0001,0.06758595586252714,1.0,1.0
P1,1082.8,0.0001,0.06758595586252714,1.0,1.0
P1,1082.9,0.0001,0.06758595586252714,1.0,1.0
P1,1083.0,0.0001,0.06758595586252714,1.0,1.0
P1,1083.1,0.0001,0.06758595586252714,1.0,1.0
P1,1083.2,0.0001,0.06758595586252714,1.0,1.0
P1,1083.3,0.0001,0.06758595586252714,1.0,1.0
P1,1083.4,0.0001,0.06758595586252714,1.0,1.0
P1,1083.5,0.0001,0.06758595586252714,1.0,1.0
P1,1083.6,0.0001,0.06758595586252714,1.0,1.0
P1,1083.7,0.0001,0.06758595586252714,1.0,1.0
P1,1083.8,0.0001,0.06758595586252714,1.0,1.0
P1,1083.9,0.0001,0.06758595586252714,1.0,1.0
P1,1084.0,0.0001,0.06758595586252714,1.0,1.0
P1,1084.1,0.0001,0.06758595586252714,1.0,1.0
P1,1084.2,0.0001,0.06758595586252714,1.0,1.0
P1,1084.3,0.0001,0.06758595586252714,1.0,1.0
P1,1084.4,0.0001,0.06758595586252714,1.0,1.0
P1,1084.5,0.0001,0.06758595586252714,1.0,1.0
P1,1084.6,0.0001,0.06758595586252714,1.0,1.0
P1,1084.7,0.0001,0.06758595586252714,1.0,1.0
P1,1084.8,0.0001,0.06758595586252714,1.0,1.0
P1,1084.9,0.0001,0.06758595586252714,1.0,1.0
P1,1085.0,0.0001,0.05709399139296911,1.0,0.9822
P1,1085.1,0.0261,0.0009,1.0,0.6416
P1,1085.2,0.064,0.0131,1.0,0.5656
P1,1085.3,0.0974,0.192,0.4908,0.3592
P1,1085.4,0.0966,0.1825,0.4973,0.3478
P1,1085.5,0.0497,0.0061,1.0,0.5784
P1,1085.6,0.0004,0.112571301616189,1.0,0.847
P1,1085.7,0.0001,0.06699995147560533,1.0,0.9183
P1,1085.8,0.0004,0.11156158316930631,1.0,0.8491
